t,RMSD_ligand_rep1,RMSD_ligand_rep2,RMSD_ligand_rep3,RMSD_pocket_rep1,RMSD_pocket_rep2,RMSD_pocket_rep3,RMSD_BB_rep1,RMSD_BB_rep2,RMSD_BB_rep3,Rg_rep1,Rg_rep2,Rg_rep3
0,0,0,0,1.69E-07,1.60E-07,1.65E-07,0,0,0,20.264673,21.21768482,20.46121441
0.5,0.39557555,0.356986459,0.413776592,0.48201618,0.4506326,0.495924848,0.51166248,0.514933037,0.495379752,20.44025,20.11704612,20.99413194
1,0.36021379,0.35991119,0.354511688,0.6879124,0.658571425,0.676823626,0.91103208,0.951090068,0.915458207,20.602354,21.40357124,19.03046608
1.5,0.50004649,0.501697411,0.529853414,0.57895046,0.611581301,0.559524076,0.86804169,0.88833257,0.911455468,20.524754,19.64291568,20.66465188
2,0.50170487,0.510955073,0.540136293,0.80506903,0.766470696,0.778502983,1.1241246,1.17349898,1.106599787,20.537296,20.48602884,20.88413923
2.5,0.43096745,0.426983967,0.38340004,0.83920652,0.810634494,0.873946374,1.0985481,1.165699123,1.183225857,20.527094,20.36849194,21.68359745
3,0.40868783,0.399935212,0.424111088,0.86988795,0.854572113,0.863538729,1.0471541,1.075024587,1.114271559,20.557232,20.93285792,21.66118683
3.5,0.89174801,0.910150684,0.909253953,0.98254693,1.003712023,0.982798183,1.4454784,1.600263667,1.41933209,20.733196,20.31188189,19.45786374
4,1.4698464,1.432200493,1.559964836,1.0433506,1.000898087,0.930040435,1.4063671,1.44968176,1.380338948,20.594471,21.75700036,20.76373703
4.5,1.3759249,1.368085743,1.435081497,1.360877,1.303709519,1.480747213,1.5049371,1.442897482,1.57968159,20.519548,21.1870415,20.22045361
5,1.510047,1.566164437,1.565022342,1.3515977,1.388304003,1.266338896,1.6372192,1.582739936,1.754275341,20.56233,20.80101889,20.40145514
5.5,1.2651556,1.272536885,1.222535092,1.4838368,1.500061709,1.436423755,1.6088482,1.678948031,1.603912147,20.562847,20.79273505,20.15900819
6,1.1830374,1.223196407,1.318489856,1.6184922,1.62396101,1.560373671,1.6647612,1.688826938,1.667475405,20.687691,21.34068579,20.71670538
6.5,1.2789903,1.185805892,1.280798289,1.6684316,1.641764122,1.673048639,1.6911907,1.651416207,1.650469969,20.617672,19.9590633,20.01624678
7,1.4212133,1.401661509,1.359947601,1.7919862,1.92593191,1.658646781,1.755785,1.679774336,1.774774415,20.537254,21.53154293,21.54807336
7.5,1.4520661,1.329884193,1.412636396,1.7662212,1.736647148,1.716889314,1.7225292,1.736546545,1.695271654,20.532476,21.1343058,20.05957228
8,1.5786005,1.634737632,1.465235693,1.8665484,1.940589451,1.993950411,1.7164479,1.686519479,1.754123922,20.520411,20.04602856,19.79019728
8.5,1.4271287,1.4883508,1.448333817,2.0163753,1.997088234,1.972170579,1.7344197,1.623790925,1.716066293,20.651865,19.48164027,21.0276916
9,1.4660318,1.398634486,1.535885612,1.9487863,1.997229302,2.09684769,1.7354486,1.747807227,1.883300963,20.671343,21.38500598,20.41413082
9.5,1.7120442,1.675470429,1.669264616,2.0656612,2.082035664,2.075947935,1.7708405,1.82623154,1.782204268,20.601093,20.28244916,19.84480433
10,2.1234798,2.17197745,2.057601463,1.930966,1.867058176,2.009486195,1.7714468,1.739290271,1.916864958,20.610907,20.21750879,20.3774876
10.5,1.5342689,1.442531921,1.484561256,1.7628702,1.805793664,1.737892867,1.7666405,1.725177241,1.678738532,20.588089,20.6009505,20.30719359
11,1.595885,1.634245819,1.629593613,1.8433088,1.884463542,1.83581179,1.7901162,1.849672033,1.900618068,20.630247,20.52865801,20.78588987
11.5,1.5755087,1.542163191,1.6134091,1.760084,1.753068463,1.746992712,1.7915649,1.640416443,1.909419925,20.544542,19.05802885,19.28891547
12,1.5863893,1.481473474,1.562308597,1.9562453,1.858702329,1.841444152,1.8118715,1.848088476,1.886726571,20.537832,19.60800316,21.41102082
12.5,1.5996556,1.569409108,1.558403074,1.8921577,2.015074941,2.049028294,1.859655,1.826528596,1.832014706,20.581497,21.34045572,19.1578984
13,1.9598573,1.868369429,1.932301265,2.1111853,2.089499462,2.1491888,1.8600906,1.771734245,1.838291081,20.531898,20.18384837,22.85766989
13.5,2.0060635,2.090349074,2.091861497,1.9733614,1.802930028,2.144183401,1.901458,1.942759916,2.033218148,20.578995,20.82361299,18.84440728
14,1.7085617,1.657804607,1.676290506,1.8577104,1.723392564,1.604273588,1.8840244,1.890819088,1.823133039,20.602354,20.05691419,21.75104263
14.5,1.5169548,1.534602765,1.452999144,1.8668342,1.868873917,1.807404612,1.8524008,2.000757625,1.88260736,20.553343,20.30736508,21.3624423
15,1.7258679,1.637546827,1.695120408,2.0158546,2.033924281,1.990070592,1.8023188,1.822144008,1.875220947,20.564587,21.96214356,20.8258176
