t,RMSD_ligand_rep1,RMSD_ligand_rep2,RMSD_ligand_rep3,RMSD_pocket_rep1,RMSD_pocket_rep2,RMSD_pocket_rep3,RMSD_BB_rep1,RMSD_BB_rep2,RMSD_BB_rep3,Rg_rep1,Rg_rep2,Rg_rep3
0,0,0.15,0,1.69E-07,0.100000167,0,0,0.1,0,20.264673,20.40259785,20.22320821
0.5,0.39557555,0.556496175,0.264687842,0.48201618,0.590361381,0.399267744,0.51166248,0.601892843,0.421468475,20.44025,20.79257917,20.16595117
1,0.36021379,0.506792529,0.257053506,0.6879124,0.781259136,0.648052189,0.91103208,1.013687756,0.858527593,20.602354,19.67922125,20.91388657
1.5,0.50004649,0.667930644,0.394339118,0.57895046,0.66729463,0.509154267,0.86804169,0.994089957,0.836371016,20.524754,20.62869273,21.12618805
2,0.50170487,0.674763724,0.413902848,0.80506903,0.889129402,0.704149084,1.1241246,1.213609712,1.102839844,20.537296,20.76540194,20.75431086
2.5,0.43096745,0.552427004,0.336491453,0.83920652,0.960050432,0.776914157,1.0985481,1.249354754,1.035534849,20.527094,21.24099607,20.56925204
3,0.40868783,0.567941785,0.303232075,0.86988795,0.966078418,0.791996406,1.0471541,1.187424575,0.972122323,20.557232,21.2396049,20.44808956
3.5,0.89174801,1.052251576,0.790968971,0.98254693,1.082697682,0.931836464,1.4454784,1.529790614,1.416317759,20.733196,19.98799664,20.75591513
4,1.4698464,1.673917461,1.334278715,1.0433506,1.075364501,0.967589833,1.4063671,1.490750209,1.287418008,20.594471,20.71603062,20.40096594
4.5,1.3759249,1.561418858,1.341832836,1.360877,1.532799128,1.27480081,1.5049371,1.649783794,1.415360535,20.519548,20.36009136,19.64590358
5,1.510047,1.693032205,1.417717553,1.3515977,1.400442417,1.284329442,1.6372192,1.807452884,1.541003297,20.56233,20.48580508,19.68687646
5.5,1.2651556,1.389583295,1.182796008,1.4838368,1.555388973,1.418449895,1.6088482,1.705886568,1.547540599,20.562847,20.34054371,20.75698611
6,1.1830374,1.414308873,1.080236916,1.6184922,1.683621082,1.542309321,1.6647612,1.766389723,1.60693114,20.687691,20.72509963,20.67572385
6.5,1.2789903,1.430075093,1.161238756,1.6684316,1.771201824,1.517665688,1.6911907,1.766758261,1.664630866,20.617672,20.27681687,20.62373508
7,1.4212133,1.534453881,1.366917909,1.7919862,1.811982549,1.730137806,1.755785,1.867178649,1.629654986,20.537254,21.16374561,20.94630203
7.5,1.4520661,1.578408278,1.346023684,1.7662212,1.836622068,1.634889192,1.7225292,1.806174673,1.677721591,20.532476,20.26873377,21.25199471
8,1.5786005,1.660581616,1.458127269,1.8665484,2.042989606,1.822465851,1.7164479,1.839053513,1.715170139,20.520411,20.10228277,20.35691272
8.5,1.4271287,1.58985177,1.316988315,2.0163753,2.089852468,1.945950231,1.7344197,1.823407656,1.747577361,20.651865,20.89736096,20.04854295
9,1.4660318,1.657944087,1.360339342,1.9487863,2.137623134,1.827672021,1.7354486,1.924160018,1.673345656,20.671343,20.53701569,21.28246157
9.5,1.7120442,1.83637645,1.632552867,2.0656612,2.171833241,1.913487476,1.7708405,1.877658761,1.705186552,20.601093,20.1673198,20.47455486
10,2.1234798,2.233952798,2.004137984,1.930966,2.078078117,1.821864801,1.7714468,1.958697695,1.674828289,20.610907,20.49085536,19.20985005
