t,Rg_rep1,Rg_rep2,Rg_rep3,RMSD_BB_rep1,RMSD_BB_rep2,RMSD_BB_rep3,RMSD_ligand_rep1,RMSD_ligand_rep2,RMSD_ligand_rep3,RMSD_pocket_rep1,RMSD_pocket_rep2,RMSD_pocket_rep3
0,21.580275,21.90906892,20.51299946,6.74E-07,6.39E-07,6.62E-07,0,0,0,2.38E-07,2.50E-07,2.41E-07
0.5,21.68227,19.56712641,22.67990474,0.45751038,0.427722348,0.470711929,0.36119795,0.363506735,0.349703482,0.44214776,0.435156462,0.454128908
1,21.816402,21.79807496,21.47105332,0.78869414,0.755054603,0.77598082,0.94310248,0.984570601,0.947684417,0.5369873,0.55787052,0.496017038
1.5,21.618795,21.69017021,22.90745473,0.71845704,0.758950759,0.694349585,0.26283187,0.268975688,0.275977004,0.44795603,0.428709768,0.451009323
2,21.458736,21.85438229,23.10251067,0.89999217,0.856842828,0.870293805,0.69080365,0.721145484,0.680034199,0.87033826,0.868165638,0.88503693
2.5,21.427374,21.22931825,19.06235856,1.0257707,0.990846821,1.068233578,0.72524434,0.769576399,0.781147276,0.68536121,0.680065784,0.723974693
3,21.568192,21.10627916,22.38214283,1.1172377,1.097566856,1.1090831,0.90133494,0.925324383,0.959106103,0.76502198,0.779000617,0.806104832
3.5,22.043276,22.49817494,22.47600848,1.5143734,1.546994593,1.514760649,0.84947908,0.940443322,0.834113411,1.2047809,1.180298848,1.130672887
4,21.960512,21.39805637,23.30694315,1.4976394,1.436702495,1.334992475,1.0201758,1.051596165,1.001295032,1.1459386,1.210625246,1.155357073
4.5,21.89201,21.76728306,22.83323637,1.5943654,1.527389579,1.734801986,1.5365081,1.473166997,1.612820601,1.0752556,1.110233277,1.059582598
5,21.936443,22.75166064,22.73506943,1.7622558,1.810114638,1.651092676,1.3018931,1.258571975,1.394974455,1.0794238,1.091953823,1.070978641
5.5,21.893885,22.02162028,21.15632473,1.7789516,1.798403421,1.722108751,1.4666264,1.530529423,1.462126693,1.0521511,1.063913915,1.031487646
6,21.891455,22.63457529,24.39792803,1.7829416,1.788966077,1.718917848,0.92594719,0.939332655,0.927456842,1.0644846,1.09808443,1.065977534
6.5,21.805174,20.21649719,21.83599793,1.7265532,1.698956732,1.731331079,1.1166415,1.090379619,1.089754846,1.0521245,1.018515548,1.021433634
7,21.830439,21.53011519,20.88937189,1.7632184,1.895013801,1.632019557,1.0751806,1.028634359,1.086809046,1.064308,1.11583532,1.116691981
7.5,21.971138,20.1224098,21.37452917,1.7758077,1.746073129,1.726208056,1.1910577,1.200750115,1.172210234,1.1422858,1.175767472,1.115976688
8,21.92717,22.70692931,20.35250345,1.744984,1.814202912,1.864088584,1.0024984,0.985018584,1.024503234,1.1609142,1.134076662,1.119603357
8.5,21.948259,22.88981284,22.27437914,1.7548068,1.738021693,1.71633641,1.2988719,1.216024244,1.285127404,1.4458954,1.363964662,1.472208081
9,21.928101,20.92000887,22.97293608,1.7307659,1.773789343,1.862262927,1.164142,1.172432189,1.263321628,1.2501693,1.29333048,1.234613524
9.5,21.91317,21.44504701,21.36561621,1.7669481,1.78095467,1.775747281,1.1311983,1.16658164,1.138457381,1.220139,1.201266711,1.175346362
10,21.957552,22.4590353,21.27634608,1.8557228,1.794305247,1.931183329,0.91694301,0.900298026,0.992214908,1.1076741,1.086532041,1.095129644
10.5,21.848974,20.54258053,21.14110525,1.8211722,1.865515237,1.795368812,0.94467443,0.922502811,0.897670672,1.0725235,1.073193512,1.057890431
11,21.811476,22.33576571,22.27218251,1.7927738,1.83280027,1.785482323,1.1743182,1.213386892,1.246807547,1.1886568,1.182803528,1.197624504
11.5,21.833323,21.37122256,22.3585449,1.7877411,1.780615324,1.774444102,0.921597,0.843844882,0.982222678,1.2158115,1.127840701,1.141504408
12,21.913685,20.46442387,21.58104475,1.8136523,1.72321935,1.707219142,1.1753983,1.198892997,1.223958324,1.2934499,1.23489031,1.348442364
12.5,22.032084,21.61549854,21.46391225,1.9097066,2.033763843,2.068032097,1.0727844,1.053674678,1.056839466,1.3215183,1.370250316,1.230110391
13,21.938919,20.91479087,21.63045286,1.9189324,1.899221361,1.953475151,1.0420673,0.992567954,1.029854687,1.3387235,1.316029923,1.490368783
13.5,21.837587,22.7551021,22.77156602,1.93941,1.771910875,2.107293033,0.98068345,1.001985054,1.048639196,1.3127862,1.328391001,1.202132457
14,21.766109,21.11949237,21.35499225,2.0053179,1.860327615,1.731743841,0.86395907,0.867074917,0.836036054,1.2621651,1.228749739,1.332537384
14.5,21.736319,21.98919522,20.81990373,2.0109138,2.013110939,1.946897522,0.87157953,0.941383415,0.885792123,1.2621735,1.247068083,1.311860001
15,21.829151,20.71204693,21.44025007,2.0368838,2.055141982,2.010830816,0.93292421,0.943186222,0.970660141,1.2574817,1.342939375,1.273455407
15.5,21.873903,22.78726012,21.56188624,2.0489163,2.085476247,2.081135867,0.98901552,1.061376983,0.992779788,1.2301838,1.157063947,1.245846065
16,21.862888,21.16354719,24.05052266,2.0096738,1.91656803,1.979005382,1.0121883,0.992460254,0.984871218,1.3067765,1.216825445,1.399141475
16.5,21.852543,22.54652617,21.08147532,1.9850768,1.963020344,2.155782435,1.0629767,0.984805059,1.052655313,1.3410034,1.27290865,1.345954352
17,21.815912,22.15789153,22.6161505,2.0002961,2.084121165,2.12162503,1.0654955,1.171870889,1.118610379,1.3108808,1.501867118,1.297533716
17.5,21.811155,22.26309242,21.41154319,2.0381002,1.937261308,2.073509403,1.1200808,1.000677595,1.127625612,1.2589127,1.275763968,1.218484411
18,21.786016,20.90047861,22.23342242,2.0201306,1.978176804,2.120543173,1.3943439,1.351670228,1.40595228,1.1370295,1.12902533,1.225945191
18.5,21.800976,22.96294647,22.24822534,2.0197291,2.035588878,2.003994097,1.4386271,1.427216281,1.445835693,1.1648109,1.104493861,1.132189796
19,21.835535,20.0071551,20.70958786,2.0206003,1.971468605,2.068743983,1.1133256,1.110331725,1.065828329,1.2207276,1.328635642,1.198858755
19.5,21.899149,22.04179406,21.80147874,2.0398471,2.140079017,2.079124782,0.87105614,0.849310415,0.891141039,1.1507024,1.082526518,1.153822158
20,21.956497,20.89696784,19.83625946,2.021383,1.948085018,2.000502852,0.89897132,0.994642982,0.864111936,1.2046723,1.155197211,1.197965434
20.5,21.942465,22.862391,23.03007198,2.016201,1.925176866,2.097335377,0.88145483,0.922511807,0.891165389,1.2897732,1.314598172,1.322388972
21,21.937922,21.7661065,20.30529285,1.9930553,1.988993202,2.012474382,0.97598839,0.944035131,1.006464153,1.3603176,1.390657593,1.312289731
21.5,21.848047,21.35102198,22.29045641,1.997262,1.874869209,1.95923151,1.059322,0.991634631,1.112314941,1.1905824,1.200856407,1.256565595
22,21.882662,23.61039801,21.29753812,1.9383771,1.953883304,2.080161882,0.8326878,0.827748366,0.824773923,1.096629,1.112301262,1.20968841
22.5,21.934624,23.36695686,21.39552116,1.9658675,1.987431346,1.972134323,0.88444382,0.866271718,0.893871523,1.1078726,1.169153947,1.066283282
23,21.865166,22.33390754,19.97888051,1.9610273,2.111610271,1.882625042,0.8565433,0.864390711,0.90277975,1.0827339,1.016445193,1.064940976
