t,RMSD (Ligand) Rep1,RMSD (Ligand) Rep2,RMSD (Ligand) Rep3,RMSD Pocket Rep1,RMSD Pocket Rep2,RMSD Pocket Rep3,RMSD BB Rep1,RMSD BB Rep2,RMSD BB Rep3,Rgyr Rep1,Rgyr Rep2,Rgyr Rep3
0,0,0.2,0,2.38E-07,0.150000251,0,1.22E-06,0.100001274,0,21.10306,21.14860065,21.06751224
0.5,0.25376591,0.438276352,0.098215642,0.56273854,0.708229193,0.437852795,0.49557868,0.615837442,0.428421199,21.224426,21.22868263,21.26467373
1,0.49026114,0.699134402,0.324293926,1.1933378,1.333210133,1.071127371,0.97442311,1.080181358,0.894355266,21.462337,21.48448895,21.36841149
1.5,0.44300976,0.652901652,0.287668244,1.125115,1.232562963,1.048449096,0.93258381,1.046807333,0.835687784,21.238531,21.31571848,21.22322781
2,0.722592,0.915878684,0.547606378,0.99944556,1.15418717,0.883873232,1.2494582,1.329376664,1.144371796,21.113264,21.19244829,21.087295
2.5,0.75787234,0.966223821,0.642163591,1.0220184,1.17557597,0.922281787,1.4390204,1.601228907,1.41081083,21.156727,21.22522556,21.12838122
3,1.0102379,1.262075054,0.886905161,1.081133,1.234567164,1.022215098,1.5862452,1.718695281,1.380939217,21.184786,21.22038457,21.15111981
3.5,0.97234434,1.203288163,0.840944308,1.3380616,1.501913929,1.255694815,1.9360482,2.07313955,1.882623168,21.528791,21.5754058,21.55548947
4,0.88849866,1.10736075,0.77607872,1.3439046,1.517063833,1.254170694,1.9845355,2.064425797,1.9494168,21.520432,21.59138098,21.43178543
4.5,1.3337308,1.561248976,1.159670144,1.5878227,1.736601766,1.581246708,2.0323157,2.082338434,1.941211402,21.312199,21.37971174,21.31033708
5,1.7768701,1.930836684,1.556818976,1.7643012,1.887177535,1.675789764,2.0878344,2.126308114,1.93531408,21.277843,21.34964268,21.27457325
5.5,2.0243168,2.282861058,1.895394253,1.7647175,1.844220416,1.648176991,2.0747066,2.074452511,2.08479224,21.272142,21.28603148,21.20627953
6,2.0590744,2.157245173,1.928179644,1.6174135,1.756906333,1.502656621,2.1959796,2.361850603,2.153799075,21.41165,21.52024703,21.37401903
6.5,2.2316046,2.409371671,2.024328977,1.4746575,1.582638074,1.423922005,2.2476852,2.31055499,2.227657119,21.341034,21.38361874,21.32911709
7,2.1396172,2.311547957,2.024012478,1.548434,1.645933303,1.426852546,2.2771606,2.439867772,2.122726932,21.184383,21.24974957,21.10992049
7.5,2.1059816,2.196774742,2.048986488,1.6427882,1.801541944,1.503451479,2.2443781,2.326595662,2.036813179,21.1761,21.24342636,21.10498894
8,2.2420559,2.434634321,2.056184348,1.6119606,1.805575515,1.443589372,2.2608008,2.351720677,2.291594608,21.158981,21.1651675,21.10400972
8.5,2.3479669,2.663730244,2.211680027,1.7497047,1.930714723,1.628750225,2.3502257,2.43084247,2.220276143,21.215521,21.22591402,21.14821042
9,2.3195045,2.495836693,2.19345872,1.5724159,1.796184088,1.580662169,2.368891,2.431517388,2.236497829,21.260681,21.33584459,21.24565193
9.5,2.4231393,2.535353567,2.308455489,1.5739723,1.785602593,1.450123715,2.3695614,2.457656586,2.314650757,21.365362,21.43965848,21.33547035
10,2.4097247,2.603142268,2.333672256,1.6514499,1.796190314,1.576755031,2.3660522,2.392377023,2.291234995,21.436548,21.49395668,21.40127699
10.5,2.551719,2.817088247,2.446768167,1.7067479,1.764254365,1.633409542,2.3508213,2.415981123,2.246921605,21.335339,21.41550079,21.3247647
11,2.2989528,2.51227878,2.245485347,1.7697299,1.955602687,1.739727641,2.4066296,2.637016807,2.34447193,21.202747,21.26731489,21.11890697
11.5,2.2737343,2.473552466,2.068464774,1.7776452,1.902040032,1.651786539,2.4449975,2.478243193,2.3531525,21.169386,21.1447711,21.09787429
12,2.3378892,2.439051035,2.154776539,1.8136576,1.962385517,1.704828777,2.4770772,2.493066314,2.32820963,21.189592,21.2295993,21.16031416
12.5,2.5129483,2.7507191,2.424745457,1.783805,1.953258962,1.647303974,2.4904695,2.628126885,2.499570357,21.276608,21.32736632,21.22833304
13,2.4126813,2.647838729,2.230657988,1.6184278,1.812299154,1.512684093,2.4619286,2.578935105,2.378820449,21.23686,21.30292132,21.26655091
13.5,2.586148,2.890209387,2.392711462,1.7378733,1.875027866,1.639989977,2.4942563,2.669753541,2.419847844,21.173883,21.1993136,21.17049175
14,2.396379,2.70342908,2.2431086,1.8367919,1.943789294,1.721411451,2.495002,2.624650294,2.20188519,21.112267,21.07610799,21.0741341
14.5,2.4030421,2.652682917,2.278436238,1.6473097,1.798924158,1.489801702,2.5289257,2.566212032,2.446648092,21.11713,21.14029902,21.11102005
15,2.6131234,2.68436826,2.424108651,1.6994777,1.815121155,1.639855494,2.5485609,2.573898998,2.483950806,21.182636,21.33865157,21.17634572
15.5,2.6843565,2.768763264,2.582123756,1.7958541,1.94500503,1.783319759,2.5567677,2.650484796,2.583866311,21.141142,21.16975477,21.07561477
16,2.9667456,3.069022917,2.940243,1.7108352,1.908125864,1.715896821,2.5613267,2.71346981,2.471183378,21.106968,21.17633781,21.03101575
16.5,2.9190168,3.144843527,2.612747677,1.7444917,1.898510738,1.7966099,2.6290321,2.755707529,2.641041946,21.124186,21.20432956,21.05034733
17,2.9105978,3.041857097,2.560923683,1.8856717,1.992805037,1.827786105,2.6426547,2.739024192,2.574961188,21.0819,21.14886823,21.06918758
17.5,2.80564,3.115862737,2.719015418,1.7663441,1.999082684,1.610259315,2.6562254,2.792773334,2.610180461,21.064537,21.15281872,21.06152435
18,2.8631909,3.084137025,2.644789771,1.7961532,1.892110992,1.535221767,2.6391361,2.713493545,2.607968714,21.0065,20.95878254,21.01536108
18.5,2.7765999,3.006984293,2.747909998,1.83859,1.95191728,1.783419485,2.5547776,2.640424539,2.458245932,20.990734,20.99258053,20.87285235
19,3.0150218,3.282905749,3.124562681,1.7081554,1.863905231,1.681873999,2.487812,2.667726757,2.425887249,21.01852,21.14599631,21.01178488
19.5,2.8727131,3.102036138,2.7104964,1.8060297,2.008562733,1.745228083,2.4621553,2.579775133,2.387466953,21.035093,21.06045271,20.97089611
20,2.78987,2.871811043,2.607763548,1.7977376,2.007457156,1.677925875,2.5093331,2.69140345,2.491854915,21.094021,21.08214171,21.0191569
20.5,2.5911191,2.981716316,2.440578411,1.7211456,1.926155964,1.65780421,2.5490639,2.540160035,2.427915556,21.019928,21.16893043,21.01411654
21,2.5945778,2.908452956,2.466493941,1.7512634,1.904429929,1.658845483,2.5258901,2.602793418,2.453825474,21.035955,21.0874088,21.03803111
21.5,2.5516567,2.868251744,2.398183033,1.7610515,1.860342094,1.63755099,2.5681281,2.740666351,2.428377326,21.02701,21.00742569,21.00502983
22,2.689899,2.829579416,2.46696558,1.8472507,1.991855048,1.837209658,2.5561609,2.62965727,2.447090946,21.000513,21.03228431,20.914386
22.5,2.8010256,2.845778943,2.685836996,1.9280833,2.17012714,1.901734751,2.6164455,2.552491355,2.575367246,21.01782,21.08754254,20.88145328
23,2.7255068,2.802316505,2.410412701,1.9770335,2.107897985,1.828092672,2.6547542,2.779061358,2.622715051,21.039364,21.05656967,20.98643514
23.5,2.5548754,2.674131382,2.435023384,1.8191209,1.904891834,1.717019188,2.6400597,2.855307331,2.600535376,21.054159,21.08349625,20.94321808
24,2.6689565,2.939588256,2.527002823,1.9212326,1.978401329,1.772084559,2.6640675,2.692637575,2.575353281,21.075703,21.1089624,21.06626003
24.5,2.819046,3.095187255,2.779685788,1.8092258,2.016845682,1.729831873,2.677969,2.814745958,2.53306586,21.049974,21.06657132,20.966859
25,2.8006158,3.123147747,2.664340176,1.8880612,2.002268428,1.840806366,2.6412189,2.771719277,2.52963631,21.028934,21.01272566,21.09471001
25.5,2.6424079,3.012244701,2.530883964,1.8693767,2.008941822,1.821622865,2.6857677,2.771594317,2.555220061,21.005457,21.07677767,20.96375518
26,2.7751765,3.018544817,2.546387934,1.8654853,2.064971497,1.687694506,2.6759772,2.816666972,2.56561212,20.947338,20.99926733,20.87960696
26.5,2.8884323,3.119156135,2.753551211,1.7744837,1.93185673,1.654766996,2.6689773,2.820961884,2.474601607,21.000523,21.01812674,20.98115668
27,2.7591243,2.929077243,2.67343891,1.8217859,1.954973412,1.715966677,2.6561503,2.908455113,2.572218973,20.994032,21.04613843,20.92081181
27.5,2.7692285,2.941276237,2.704051569,1.7848428,2.054293674,1.636767944,2.6468635,2.749943566,2.594945661,21.043015,21.05193883,21.00695988
28,2.7001977,2.806410353,2.559814761,1.7944162,1.979523857,1.709708241,2.6870422,2.882191152,2.651140195,21.039745,21.16727855,21.003458
28.5,2.6063514,2.846291139,2.580314241,1.8310822,2.042569969,1.801612591,2.7074754,2.823012137,2.601091944,21.025387,21.04631806,20.90429798
29,2.6269372,2.85201166,2.577455316,1.8821821,2.054680462,1.765928052,2.689393,2.651610488,2.621441315,20.994991,21.07725951,20.91448785
29.5,2.9684973,3.1324124,2.760431613,1.8700848,1.974845567,1.736016146,2.7128186,2.89650191,2.661676672,21.034666,21.06659341,20.93633607
30,2.6557391,2.79115799,2.309133076,1.9785674,2.063071152,1.852109543,2.641602,2.679241766,2.48668411,21.052469,21.09882717,21.02112856
30.5,2.6975458,2.934525222,2.458724173,1.8338559,2.025931625,1.641301838,2.5929141,2.768995881,2.516768415,20.996935,21.07004258,20.94061539
31,2.6720374,2.976740656,2.527516177,1.8603582,2.061361694,1.741795739,2.5717793,2.640153005,2.463132866,20.956619,21.00559403,20.91399403
31.5,2.8181005,3.024990597,2.681569947,1.8906506,2.024365371,1.720624976,2.5589099,2.730487386,2.519317376,20.996225,21.05220478,20.95104452
32,2.8088052,3.032716759,2.634072751,1.8701371,2.011088961,1.752532389,2.5975444,2.72894789,2.426772431,20.961935,20.98955021,20.94821807
32.5,2.8194985,2.973131866,2.633965505,1.7761232,1.852458356,1.708695556,2.5768178,2.621272034,2.49348873,20.948038,20.98095601,20.87205736
33,2.6819687,2.861972543,2.584204113,1.8127308,2.000924807,1.710700068,2.5330772,2.638900092,2.362636399,21.02326,21.00500183,21.0101243
33.5,2.7225313,2.896680683,2.52448839,1.6766447,1.744255941,1.562693606,2.552319,2.59966401,2.42375384,21.052591,21.00410447,21.02785452
34,2.5161419,2.69462295,2.205559789,1.8371712,2.051287472,1.75262612,2.6433825,2.811208336,2.605571391,21.029268,21.10498412,20.99903626
34.5,2.5015056,2.656685265,2.328215677,1.7847238,1.958565102,1.626202609,2.6314101,2.792122956,2.731447535,21.016232,21.05734509,20.92645542
35,2.5783286,2.808988798,2.507074907,1.8063017,1.958860779,1.680685055,2.6252878,2.906300121,2.710145025,21.061937,21.03310009,20.96673254
35.5,2.5759954,2.876438301,2.360241403,1.7559271,1.903952552,1.583624411,2.5955765,2.610580447,2.623272471,21.048592,21.07982726,20.97612412
36,2.5317881,2.659846669,2.430372893,1.7395812,1.91616331,1.651784347,2.5695033,2.636471028,2.504084395,21.008585,21.10437534,20.89360205
36.5,2.4517381,2.754652754,2.344048834,1.8211023,2.070496923,1.660215074,2.5677977,2.678706147,2.444252356,21.012056,21.08529394,20.93105155
37,2.5225747,2.692076587,2.371342175,1.8604075,2.073122658,1.835953276,2.5512786,2.641387203,2.496176893,20.965282,21.02818068,20.93403576
37.5,2.4874346,2.66004132,2.367941382,1.819838,1.95623742,1.700611113,2.5538211,2.731433698,2.521149436,21.013348,21.02762128,20.99303123
38,2.5343544,2.570396935,2.314594351,1.786358,1.864270579,1.686971835,2.5172386,2.676678994,2.408330254,21.069407,21.14652546,21.04040464
38.5,2.5378108,2.553453384,2.392401048,1.7528065,1.921979732,1.594236685,2.4877923,2.607676334,2.307340408,21.046841,21.08495132,20.99274334
39,2.3782506,2.630726917,2.335289488,1.7498754,2.02015686,1.684667786,2.5414765,2.74035949,2.35761201,21.066246,21.09831767,21.07352729
39.5,2.451592,2.571345259,2.295994963,1.7458769,1.868767188,1.676817232,2.5183468,2.690338318,2.484189002,21.035015,21.07449209,20.95246042
40,2.462805,2.722304521,2.231359843,1.6658815,1.816981516,1.578755865,2.5748065,2.671708651,2.605215638,20.991117,21.02806019,20.9254734
40.5,2.5852118,2.789138158,2.548736416,1.7423608,1.873661194,1.620353099,2.5748258,2.667824492,2.438900606,20.994131,21.01512837,20.98171904
41,2.3968177,2.614827854,2.148925253,1.8808004,2.032494483,1.809521804,2.5618923,2.585900214,2.583793707,20.986788,21.06876289,20.92542742
41.5,2.5627255,2.865232324,2.539743528,1.6969429,1.840401394,1.578591557,2.5575125,2.57692399,2.494087548,21.01557,21.0445257,20.90416088
42,2.6320715,2.826358188,2.489587539,1.8011692,2.006456075,1.731831747,2.5164852,2.569680674,2.512342145,21.061094,21.07893626,20.97619556
42.5,2.4344032,2.395872368,2.329541907,1.6555651,1.860824273,1.438026725,2.4719458,2.499382495,2.365276361,21.03793,21.02886911,20.98609123
43,2.5294609,2.597527352,2.406313244,1.7025939,1.89623316,1.565655792,2.4989738,2.549497327,2.422858906,21.022369,21.08464616,20.93816345
43.5,2.483496,2.755961833,2.335013468,1.7448237,1.937135431,1.662018525,2.5018036,2.63227258,2.438373797,21.001425,21.03415322,21.00354647
44,2.5313568,2.882986106,2.463253516,1.8597916,2.101812161,1.782174561,2.5843484,2.677010845,2.548724612,21.049278,21.14051327,20.9853474
44.5,2.6233041,2.815752835,2.467237219,1.7515455,1.847535457,1.675292947,2.5824158,2.720622919,2.440704417,21.001909,21.08384871,21.03013867
45,2.597749,2.743024898,2.384046878,1.8494321,2.001340039,1.679844975,2.5894308,2.621678682,2.48851507,21.025398,21.12582049,20.98423711
45.5,2.688652,2.776356528,2.542268684,1.8792758,2.032415608,1.81133438,2.521069,2.600838317,2.490155101,21.011446,21.0995063,20.89695968
46,2.7338398,2.978624518,2.440737239,1.8634561,1.978124018,1.72311943,2.5117965,2.562961432,2.570143986,20.992313,21.04668513,21.01041417
46.5,2.7235715,2.776671287,2.561875457,1.6915207,1.917308367,1.522918129,2.588382,2.563860877,2.522070835,21.016886,21.15268768,20.98827889
47,2.672564,2.772678703,2.3805177,1.7296828,1.861775522,1.684641926,2.6418445,2.740481855,2.660494137,21.027346,21.06825406,20.97815115
47.5,2.9042623,3.116105856,2.756375208,1.6703956,1.765440294,1.497060501,2.6939204,2.660964268,2.507940449,21.025827,21.06052815,20.96970438
48,2.7436543,2.952044479,2.653696098,1.8101132,2.045810684,1.795214772,2.6992521,2.949103891,2.709621444,21.062771,21.07255805,20.97573078
48.5,2.8304989,3.008521692,2.735386039,1.8777153,1.985231223,1.679519351,2.7235556,2.880090013,2.706593068,21.034214,21.09736959,20.94131806
49,2.8730185,3.164672433,2.711219121,1.9213377,2.140447168,1.806195822,2.7242746,3.073586974,2.458705584,21.01515,21.05248865,20.91456561
49.5,2.8180933,2.912971867,2.440359652,1.8094569,1.932942064,1.751205403,2.6512115,2.808628945,2.645750791,21.010464,21.05416374,20.96624475
50,2.6750615,2.779495278,2.487411167,1.9163356,2.02651859,1.771192717,2.5897212,2.770156344,2.324351787,20.972317,21.02186502,21.02904173
50.5,2.8174622,2.982100942,2.776032486,1.8285543,2.042759973,1.780752872,2.5771658,2.807058276,2.471624743,21.00602,21.11857957,21.02222197
51,2.738487,2.943838659,2.538272157,1.8588785,1.973722512,1.700762425,2.6287253,2.520421688,2.478373645,21.038183,21.0560936,20.88107452
51.5,2.581264,2.755108105,2.474198562,1.8414438,2.040815133,1.714287436,2.650377,2.557209648,2.460551938,21.054327,21.11982618,21.00707082
52,2.7366457,3.10024458,2.533407853,1.760771,1.897703467,1.670873855,2.635967,2.837736972,2.546334104,21.026613,21.0708795,20.97628828
52.5,2.5960441,2.749013522,2.570429993,1.8382944,2.016142844,1.708991216,2.6218472,2.704983614,2.506043881,21.053886,21.10490404,21.06337548
53,2.7783265,3.031282326,2.454397871,1.7951673,1.905239782,1.712662821,2.6467137,2.801005201,2.519729919,21.096447,21.10836308,21.0556846
53.5,2.8989725,3.047973902,2.705444283,1.8582246,1.981105622,1.813442877,2.5975115,2.772484772,2.401292655,21.074804,21.21045413,21.0573592
54,2.6786716,2.904443161,2.499450551,1.9039026,2.104782903,1.836106382,2.6007702,2.778926696,2.505279516,21.042027,21.07330297,20.93702066
54.5,2.5882442,2.753854986,2.479120817,1.8372929,1.984205293,1.739425547,2.6030762,2.730296356,2.53871892,21.019022,21.07650251,20.98092089
55,2.454952,2.62600617,2.308375363,1.8000622,1.933345531,1.79393973,2.5772517,2.786755719,2.459805129,21.04286,21.09346761,21.01033314
55.5,2.8142631,3.151345347,2.678913961,1.738488,1.877828938,1.64484007,2.6143818,2.758013816,2.49991135,21.062199,21.16745094,20.93275496
56,2.8580327,3.029135525,2.512953916,1.7452952,1.961874169,1.553604189,2.5841506,2.62374844,2.461102896,21.043945,21.09256012,21.04301046
56.5,2.6203287,2.955312648,2.627298517,1.704971,1.796378986,1.564472797,2.615202,2.669572576,2.510413214,21.012659,21.10293593,20.99221769
57,2.6928051,2.83306299,2.559573289,1.8196489,1.926163104,1.749664834,2.6478703,2.714037347,2.420529934,20.998425,21.09120821,20.86379192
57.5,2.7627952,2.923939594,2.560920628,1.926657,1.981269784,1.796889199,2.6753051,2.852023793,2.609710714,20.989435,21.02475198,20.93634269
58,2.7245102,3.015190928,2.68840428,1.8623884,2.111361666,1.718781374,2.6164103,2.696965117,2.508165924,20.970243,20.95960279,20.86835089
58.5,2.7628288,2.757302292,2.520898757,1.8266692,1.945812127,1.709315063,2.6266205,2.715449632,2.61779696,20.975279,21.06308425,20.89739105
59,2.7739151,2.834621162,2.653594561,1.8658866,2.058710886,1.78384467,2.6341362,2.839560868,2.515673568,20.994429,20.94457099,20.9717947
59.5,2.6596384,2.861072256,2.5902865,1.7639222,1.921583806,1.731923868,2.6532364,2.846704165,2.633233327,20.993387,21.02136012,20.94998664
60,2.5369139,2.773209722,2.446637714,1.7687294,1.919967049,1.663520195,2.6465938,2.77926542,2.561163425,20.984068,21.04133779,20.8862972
60.5,2.6122735,2.857168642,2.482514989,1.801145,1.89511878,1.673108206,2.6990266,2.83645819,2.577745143,20.996069,21.09703777,20.95876898
61,2.5872519,2.761946115,2.431501583,1.804076,1.922197511,1.798778169,2.7311912,2.947361449,2.711388685,20.970108,21.0311057,20.92342919
61.5,2.729912,2.811546724,2.49865682,1.8182604,2.034277478,1.771361036,2.7113786,2.833867886,2.638463324,20.887045,20.82673714,20.89506056
62,2.4105647,2.670908865,2.286039574,1.7831131,1.935557081,1.732924516,2.6866047,2.759427352,2.618177165,20.880257,20.89964982,20.8086184
62.5,2.4555135,2.688393569,2.212229676,1.7677882,1.956934447,1.647125256,2.6343591,2.749677882,2.678407878,20.941425,21.06839429,20.78690465
63,2.3112586,2.432119698,2.236072479,1.6903088,1.948358268,1.566591864,2.6068254,2.633724823,2.600958714,20.945959,20.97508909,20.95243996
63.5,2.2478364,2.453646592,2.157310681,1.764662,1.951416558,1.685623947,2.5989606,2.776576129,2.65154119,20.951063,20.99685984,20.95225953
64,2.233794,2.555842752,2.086315691,1.798841,2.108380482,1.749814673,2.6446817,2.696016821,2.53306778,20.922594,20.95779311,20.83848015
64.5,2.2118778,2.420095575,1.936225008,1.8042237,1.962435976,1.72681348,2.7124257,2.893886094,2.626661201,20.862179,20.89607133,20.79563736
65,2.1195149,2.243018057,2.0122246,1.8037379,1.873339384,1.696171302,2.7018106,2.924359708,2.619431095,20.882641,20.91912615,20.88956724
65.5,2.2569852,2.427663948,2.152027708,1.7799702,1.886586798,1.649254325,2.68328,2.838223695,2.626287179,20.884909,20.96240985,20.8246625
66,2.481602,2.653729711,2.253010003,1.8400376,2.015051572,1.712658574,2.6008816,2.60805274,2.463076223,20.901058,21.01516496,20.79966797
66.5,2.337168,2.561271783,2.160097618,1.7073696,1.839020876,1.572645378,2.5602438,2.562741671,2.460336499,20.928713,20.92087958,20.93072108
67,2.2584662,2.520373325,2.120489128,1.5804261,1.757177406,1.425309986,2.5148759,2.59273462,2.37193707,20.899078,20.9400838,20.88789774
67.5,2.5182128,2.646430053,2.4236044,1.7470424,1.820682966,1.58181853,2.5548887,2.692471156,2.543293935,20.893709,20.98857735,20.87403407
68,2.4074395,2.559546894,2.232826143,1.5913064,1.683258303,1.521595076,2.5785754,2.598245617,2.589469308,20.922407,20.98404647,20.85632445
68.5,2.2952862,2.566259629,2.090333177,1.7232162,1.891593155,1.598866203,2.5842569,2.718419736,2.478871052,20.921101,20.94085699,20.93450723
69,2.3975949,2.651355085,2.212515959,1.6989738,1.785234003,1.706265711,2.5482376,2.647005757,2.427866764,20.922235,20.9094419,20.93570397
